"HP.Indx.England","HP.Indx.NorIre","HP.Indx.Scot","HP.Indx.Wales","DATE"
1.680066527,3.300419757,2.108087275,2.11932727,"1968 Q2"
1.737341522,3.167644249,2.311004767,2.221326978,"1968 Q3"
1.727795689,3.528034913,2.164453245,2.232660279,"1968 Q4"
1.756433187,3.319387686,2.333551155,2.232660279,"1969 Q1"
1.785070685,3.509066983,2.356097543,2.175993775,"1969 Q2"
1.813708182,3.262483898,2.333551155,2.24399358,"1969 Q3"
1.823254015,3.338355616,2.311004767,2.425326395,"1969 Q4"
1.832799847,3.603906631,2.389917125,2.334659987,"1970 Q1"
1.861437345,3.565970772,2.536468647,2.425326395,"1970 Q2"
1.947349838,3.698746279,2.491375871,2.538659404,"1970 Q3"
1.947349838,3.584938701,2.581561423,2.4933262,"1970 Q4"
2.004624833,3.869457646,2.536468647,2.447992996,"1971 Q1"
2.061899828,3.869457646,2.581561423,2.606659209,"1971 Q2"
2.176449819,4.040169013,2.863391272,2.731325519,"1971 Q3"
2.290999809,3.717714209,2.739386139,2.719992218,"1971 Q4"
2.424641465,4.021201083,2.874664466,2.957991537,"1972 Q1"
2.672833111,4.078104872,3.16776751,3.071324546,"1972 Q2"
3.08330391,4.741982409,3.359411808,3.422656875,"1972 Q3"
3.426953881,4.267784168,3.381958196,3.841989008,"1972 Q4"
3.694237192,4.419527605,3.900525119,4.147988133,"1973 Q1"
3.87560801,4.609206902,4.047076641,4.36332085,"1973 Q2"
4.123799656,4.874757917,4.712195086,4.86198609,"1973 Q3"
4.161982987,5.72831475,4.655829116,5.088652108,"1973 Q4"
4.219257982,6.25941678,4.802380638,4.884652692,"1974 Q1"
4.219257982,6.752582951,4.926385772,4.952652497,"1974 Q2"
4.247895479,6.828454669,4.971478548,5.133985312,"1974 Q3"
4.305170475,6.600839514,4.960205354,5.417317835,"1974 Q4"
4.314716307,7.264717051,5.151849652,5.292651525,"1975 Q1"
4.43881213,7.397492558,5.377313531,5.417317835,"1975 Q2"
4.543816288,8.288985251,5.794421709,5.757316862,"1975 Q3"
4.601091283,8.478664548,5.895880455,5.643983853,"1975 Q4"
4.677457944,9.464996889,6.234076274,5.949982977,"1976 Q1"
4.792007934,9.483964819,6.606091676,5.972649579,"1976 Q2"
4.897012092,11.11520677,6.84282875,6.142649093,"1976 Q3"
4.982924585,10.37545751,6.854101944,6.289982005,"1976 Q4"
5.021107915,11.58940501,6.944287495,6.153982394,"1977 Q1"
5.087928743,12.1584429,7.068292629,6.414648315,"1977 Q2"
5.240662063,12.32915426,7.406488449,6.448648217,"1977 Q3"
5.402941217,12.70851286,7.586859553,6.641314333,"1977 Q4"
5.517491207,13.08787145,7.519220389,7.071979767,"1978 Q1"
5.794320351,13.63794141,7.913782178,7.151312874,"1978 Q2"
6.20479115,14.45356238,8.45489549,7.60464491,"1978 Q3"
6.653445279,15.38299094,8.872003667,8.001310442,"1978 Q4"
7.006641083,15.06053613,9.097467547,8.284642965,"1979 Q1"
7.56029937,16.23654777,9.480756142,9.145973834,"1979 Q2"
8.113957657,18.01953316,10.33751889,9.916638295,"1979 Q3"
8.696253442,19.27141651,10.3149725,10.55130315,"1979 Q4"
9.058995079,18.01953316,10.81099303,10.64196955,"1980 Q1"
9.431282548,18.83515413,10.90117858,11.1973013,"1980 Q2"
9.727203356,20.1629092,11.67902897,11.51463372,"1980 Q3"
9.822661682,18.91102585,11.49865787,12.08129877,"1980 Q4"
9.841753347,18.3040521,11.82558049,11.66196664,"1981 Q1"
