DATE,BoP.YoY,GDP.Chained.Volume.YoY,CPI.RATE,RPI.YoY.Q,Male.Unemp.Rate,Female.Unemp.Rate,3month.InterBankRate,Tot.Share.Prices ,AWE.Pri.Sec.Regular.Pay.YoY,AWE.Pub.Sec.Regular.Pay.YoY,HP.Indx.England,HP.Indx.NorIre,HP.Indx.Scot,HP.Indx.Wales
1956 Q1,-1.9286,0.027229,,0.056082148,,,,,,,,,,
1956 Q2,-4.25,0.024521,,0.06474259,,,,,,,,,,
1956 Q3,-4.8824,0.003054,,0.046959199,,,,,,,,,,
1956 Q4,-2.8511,0.013056,,0.03313253,,,,,,,,,,
1957 Q1,0.0769,0.021571,,0.038145101,,,,,,,,,,
1957 Q2,-0.1077,0.023481,,0.023443223,,,,,,,,,,
1957 Q3,0.1212,0.018374,,0.041176471,,,,,,,,,,
1957 Q4,0.2299,0.015666,,0.044460641,,,,,,,,,,
1958 Q1,3.6786,0.017661,,0.036023055,,,,,,,,,,
1958 Q2,-0.0862,-0.00662,,0.045096636,,,,,,,,,,
1958 Q3,0.5946,0.021769,,0.019067797,,,,,,,,,,
1958 Q4,-0.3645,0.020972,,0.019539428,,,,,,,,,,
1959 Q1,-0.7481,0.005512,,0.020862309,,,,,,,,,,
1959 Q2,0.3019,0.047114,,-0.003424658,,,,,,,,,,
1959 Q3,-0.3814,0.046333,,0.005544006,,,,,,,,,,
1959 Q4,-0.8824,0.07203,,0.000684463,,,,,,,,,,
1960 Q1,-1.5152,0.091621,,-0.003405995,,,,2.958711302,,,,,,
1960 Q2,-2.2174,0.065524,,0.010309278,,,,2.83151111,,,,,,
1960 Q3,-2.0137,0.058866,,0.015161957,,,,2.908179719,,,,,,
1960 Q4,-6.875,0.038593,,0.018467852,,,,2.892497503,,,,,,
1961 Q1,-1.2941,0.02986,,0.022556391,,,,3.122503329,,,,,,
1961 Q2,-0.6905,0.04222,,0.031292517,,,,3.21833909,,,,,,
1961 Q3,-1.8514,0.021449,,0.042090971,,,,2.852420731,,,,,,
1961 Q4,-1.5319,0.013617,,0.042310275,,,,2.754842502,,,,,,
1962 Q1,8.2,0.001819,,0.047459893,,,,2.794919274,,,,,,
1962 Q2,-3.3462,0.006822,,0.055408971,,,,2.826283705,,,,,,
1962 Q3,-0.4603,0.018332,,0.037785016,,,,2.688628703,,,,,,
1962 Q4,0.36,0.016099,,0.026417526,,,,2.8210563,,,,,,
1963 Q1,0.7609,0.015811,,0.031269943,,,,2.951741428,,,,,,
1963 Q2,-0.3443,0.050704,,0.01625,,,,3.065001873,,,,,,
1963 Q3,-0.0294,0.049239,,0.013810421,,,,3.186974659,,,,,,
1963 Q4,-1.1765,0.077249,,0.020715631,,,,3.382131117,,,,,,
1964 Q1,-1.8025,0.079419,,0.014851485,,,,3.331599534,,,,,,
1964 Q2,-2.3,0.05328,,0.027675277,,,,3.36819137,,,,,,
1964 Q3,-4.2727,0.052218,,0.042724458,,,,3.462284662,,,,,,
1964 Q4,20.1667,0.044519,,0.044895449,,,,3.256673394,,,,,,
1965 Q1,-1.1692,0.034916,,0.045731707,,,,3.188717127,,,,,,
1965 Q2,-0.5962,0.016731,,0.052064632,,,,3.139928013,,,,,,
1965 Q3,-0.6852,0.021177,,0.048693587,,,,3.009242885,,,,,,
1965 Q4,-0.8583,0.012076,,0.045909358,,,,3.29326523,,,,,,
1966 Q1,-4.7273,0.016842,,0.043148688,,,,3.369933838,,,,,,
1966 Q2,-1,0.022049,,0.03811149,,,,3.423950358,,,,,,
1966 Q3,-0.9412,0.016864,,0.036806342,,,,3.07894162,,,,,,
1966 Q4,-10.2222,0.006335,,0.038266742,,,,2.871587883,,,,,,
1967 Q1,-2.2927,0.018219,,0.036333147,,,,3.031894973,,,,,,
1967 Q2,#DIV/0!,0.026663,,0.025205479,,,,3.270613141,,,,,,
1967 Q3,16,0.02799,,0.01583834,,,,3.457057257,,,,,,
1967 Q4,-2.6205,0.037597,,0.021138211,,,,3.843885236,,,,,,
1968 Q1,-3.2264,0.06116,,0.030204962,,,,4.004192327,,,,,,
1968 Q2,0.8333,0.042163,,0.045430251,,,,4.706407082,,,1.680066527,3.300419757,2.108087275,2.11932727
1968 Q3,-0.1176,0.057958,,0.056451613,,,,5.232632532,,,1.737341522,3.167644249,2.311004767,2.221326978
1968 Q4,-0.7584,0.056821,,0.055732484,,,,5.270966836,,,1.727795689,3.528034913,2.164453245,2.232660279
1969 Q1,-1.2288,0.017051,,0.062303665,,,,5.403394433,,,1.756433187,3.319387686,2.333551155,2.232660279
1969 Q2,-2.1023,0.029177,,0.054192229,,,,4.840577147,,,1.785070685,3.509066983,2.356097543,2.175993775
1969 Q3,-6.5,0.014934,,0.050890585,,,,4.378823028,,,1.813708182,3.262483898,2.333551155,2.24399358
1969 Q4,-2.8769,0.015683,,0.051282051,,,,4.401475117,,,1.823254015,3.338355616,2.311004767,2.425326395
1970 Q1,10.3704,0.011771,,0.049778216,,,,4.598374043,,,1.832799847,3.603906631,2.389917125,2.334659987
1970 Q2,0.4948,0.02752,,0.05771096,,,,4.049496505,,,1.861437345,3.565970772,2.536468647,2.425326395
1970 Q3,-0.5455,0.032034,,0.068765133,,,,4.007677264,,,1.947349838,3.698746279,2.491375871,2.538659404
1970 Q4,0.6721,0.036178,,0.077474892,,,,4.190636443,,,1.947349838,3.584938701,2.581561423,2.4933262
1971 Q1,-0.3648,0.037629,,0.086384977,3.2,4.9,,4.138362392,,,2.004624833,3.869457646,2.536468647,2.447992996
1971 Q2,0.7241,0.031873,,0.099037139,3.5,5,,4.809212716,,,2.061899828,3.869457646,2.581561423,2.606659209
1971 Q3,3.5333,0.039871,,0.101042139,3.7,5.1,,5.42778899,,,2.176449819,4.040169013,2.863391272,2.731325519
1971 Q4,0.1667,0.034859,,0.091433644,4,5.2,,5.455668484,,,2.290999809,3.717714209,2.739386139,2.719992218
1972 Q1,-0.4205,0.041189,,0.07951599,4.1,5.2,,6.13523115,,,2.424641465,4.021201083,2.874664466,2.957991537
1972 Q2,-0.492,0.049889,,0.061743846,4,5.2,,6.455845331,,,2.672833111,4.078104872,3.16776751,3.071324546
1972 Q3,-1.5118,0.034353,,0.064609053,3.8,5.1,,6.415768559,,,3.08330391,4.741982409,3.359411808,3.422656875
1972 Q4,-1.1513,0.046397,,0.077673851,3.6,5.1,,6.305993051,,,3.426953881,4.267784168,3.381958196,3.841989008
1973 Q1,-3.2566,0.097101,,0.079263411,3.2,4.9,,5.83552659,,,3.694237192,4.419527605,3.900525119,4.147988133
1973 Q2,-2.0551,0.070277,,0.093123772,3,4.9,,5.736205892,,,3.87560801,4.609206902,4.047076641,4.36332085
1973 Q3,1.1724,0.057305,,0.091998454,2.9,4.8,,5.351120381,,,4.123799656,4.874757917,4.712195086,4.86198609
1973 Q4,11.7778,0.036581,,0.102641509,2.7,4.7,,4.952095123,,,4.161982987,5.72831475,4.655829116,5.088652108
1974 Q1,2.0549,-0.039486,,0.128709199,2.9,4.7,,4.141847329,,,4.219257982,6.25941678,4.802380638,4.884652692
1974 Q2,5.9328,-0.027063,,0.158878505,2.9,4.7,,3.707972703,,,4.219257982,6.752582951,4.926385772,4.952652497
1974 Q3,1.3042,-0.01166,,0.169911504,3,4.7,,2.828026173,,,4.247895479,6.828454669,4.971478548,5.133985312
1974 Q4,0.9717,-0.021853,,0.181724846,3.1,4.7,,2.204222495,,,4.305170475,6.600839514,4.960205354,5.417317835
1975 Q1,-0.3607,0.006286,,0.203089057,3.4,4.8,,3.134700608,,,4.314716307,7.264717051,5.151849652,5.292651525
1975 Q2,-0.5888,-0.024248,,0.242866005,3.9,5,,4.164499418,,,4.43881213,7.397492558,5.377313531,5.417317835
1975 Q3,-0.132,-0.033689,,0.265658094,4.3,5.2,,4.103513024,,,4.543816288,8.288985251,5.794421709,5.757316862
1975 Q4,-0.7343,-0.008103,,0.253113235,4.8,5.5,,4.692467335,,,4.601091283,8.478664548,5.895880455,5.643983853
1976 Q1,-1.1948,0.007689,,0.224528817,5,5.7,,5.166418733,,,4.677457944,9.464996889,6.234076274,5.949982977
1976 Q2,-0.0236,0.023253,,0.159720489,5.1,5.8,,5.166418733,,,4.792007934,9.483964819,6.606091676,5.972649579
1976 Q3,-0.3122,0.039911,,0.136504901,5.2,5.9,,4.742998918,,,4.897012092,11.11520677,6.84282875,6.142649093
1976 Q4,0.6017,0.049908,,0.149295124,5.1,6,,4.202833722,,,4.982924585,10.37545751,6.854101944,6.289982005
1977 Q1,-5.5155,0.033024,,0.165068035,5.1,6,,5.335438166,,,5.021107915,11.58940501,6.944287495,6.153982394
